rowNum,month,weekOfMonth,dayOfWeek,make,accidentArea,dayOfWeekClaimed,monthClaimed,weekOfMonthClaimed,sex,maritalStatus,age,fault,policyType,vehicleCategory,vehiclePrice,policyNumber,repNumber,deductible,driverRating,daysPolicyAccident,daysPolicyClaim,pastNumberOfClaims,ageOfVehicle,ageOfPolicyHolder,policeReportFiled,witnessPresent,agentType,numberOfSuppliments,addressChangeClaim,numberOfCars,year,basePolicy,fraud
1,Jun,1,Sunday,Pontiac,Urban,Monday,Jun,2,Male,Married,34,Third Party,Sedan - Liability,Sport,20000 to 29000,10794,12,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,no
2,May,4,Thursday,Toyota,Rural,Monday,May,5,Male,Married,30,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,10795,6,400,1,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,4 to 8 years,2 vehicles,1995,Collision,no
3,Apr,4,Tuesday,Mazda,Urban,Thursday,Apr,5,Male,Single,26,Third Party,Sedan - Liability,Sport,30000 to 39000,10796,10,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,no
4,Aug,4,Friday,Honda,Urban,Friday,Sep,1,Male,Married,51,Third Party,Sedan - All Perils,Sedan,30000 to 39000,10797,5,400,4,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,3 to 5,no change,1 vehicle,1995,All Perils,no
5,Dec,1,Saturday,Pontiac,Urban,Monday,Dec,1,Male,Married,47,Policy Holder,Sedan - All Perils,Sedan,less than 20000,10798,6,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1995,All Perils,no
6,Nov,3,Sunday,Toyota,Urban,Friday,Dec,1,Male,Single,28,Policy Holder,Sedan - Liability,Sport,30000 to 39000,10799,1,400,2,more than 30,more than 30,2 to 4,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Liability,no
7,Aug,2,Wednesday,Toyota,Urban,Wednesday,Aug,2,Male,Married,47,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,10800,12,400,2,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1995,Collision,no
8,Jul,3,Thursday,VW,Urban,Thursday,Jul,3,Male,Single,32,Policy Holder,Sedan - Liability,Sport,more than 69000,10801,10,400,2,more than 30,more than 30,1,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Liability,no
9,Jul,3,Thursday,Chevrolet,Urban,Monday,Jul,4,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,10802,12,400,3,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,no
10,Oct,2,Sunday,Honda,Urban,Wednesday,Nov,2,Male,Single,34,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,10803,14,400,3,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1995,Collision,no
11,Aug,2,Wednesday,Honda,Urban,Wednesday,Aug,3,Male,Single,35,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,10804,4,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1995,Collision,no
12,Aug,1,Tuesday,Mazda,Urban,Friday,Aug,3,Male,Married,37,Third Party,Sedan - Liability,Sport,20000 to 29000,10805,3,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1995,Liability,no
